,update_time,publish_time,authors,journal_ref,doi,primary_category,categories,entry_id,version
87,2020-12-14 19:15:42+00:00,2019-04-11 08:20:07+00:00,"['René Mayrhofer', 'Jeffrey Vander Stoep', 'Chad Brubaker', 'Nick Kralevich']",,,cs.CR,"['cs.CR', 'cs.OS']",1904.05572,2
88,2023-01-12 12:10:34+00:00,2023-01-07 18:35:08+00:00,"['Robert Schilling', 'Pascal Nasahl', 'Martin Unterguggenberger', 'Stefan Mangard']",,,cs.CR,"['cs.CR', 'cs.OS']",2301.02915,2
89,2019-07-15 09:50:24+00:00,2019-06-26 06:16:13+00:00,['Adam Lev-Libfeld'],,,cs.DS,"['cs.DS', 'cs.DC', 'cs.NI', 'cs.OS']",1906.10860,2
90,2017-06-23 02:43:41+00:00,2017-04-19 03:30:09+00:00,"['Le Guan', 'Peng Liu', 'Xinyu Xing', 'Xinyang Ge', 'Shengzhi Zhang', 'Meng Yu', 'Trent Jaeger']",,10.1145/3081333.3081349,cs.CR,"['cs.CR', 'cs.OS']",1704.05600,2
91,2023-03-23 20:27:09+00:00,2023-03-20 15:17:21+00:00,"['José Martins', 'Sandro Pinto']",,,cs.OS,['cs.OS'],2303.11186,2
92,2020-06-18 01:55:53+00:00,2019-07-30 22:07:59+00:00,"['Marcela S. Melara', 'Michael J. Freedman', 'Mic Bowman']",,,cs.CR,"['cs.CR', 'cs.OS']",1907.13245,2
93,2019-06-26 15:24:10+00:00,2019-06-24 09:11:18+00:00,"['Julien Amacher', 'Valerio Schiavoni']",,10.1007/978-3-030-22496-7_9,cs.OS,"['cs.OS', 'cs.PF']",1906.09799,2
94,2018-06-11 14:25:54+00:00,2018-06-05 10:03:40+00:00,"['Paolo Torroni', 'Zeynep Kiziltan', 'Eugenio Faldella']",,,cs.OS,['cs.OS'],1806.01589,2
95,2019-06-05 20:52:44+00:00,2018-08-02 21:21:50+00:00,"['Heejin Park', 'Shuang Zhai', 'Long Lu', 'Felix Xiaozhu Lin']",,,cs.CR,"['cs.CR', 'cs.DC', 'cs.OS']",1808.05078,2
96,2019-01-15 01:47:04+00:00,2018-06-02 18:05:28+00:00,"['Anuj Kalia', 'Michael Kaminsky', 'David G. Andersen']",,,cs.OS,['cs.OS'],1806.00680,2
97,2018-12-01 04:45:49+00:00,2018-11-24 08:54:38+00:00,"['Rafael Roman Otero', 'Alex Aravind']",,,cs.OS,['cs.OS'],1811.09792,2
98,2020-02-11 08:51:14+00:00,2020-01-16 11:40:57+00:00,"['Mario Günzel', 'Jian-Jia Chen']",,,cs.OS,['cs.OS'],2001.05747,2
99,2015-04-13 13:39:37+00:00,2015-04-09 23:17:01+00:00,"['Tuhin Borgohain', 'Uday Kumar', 'Sugata Sanyal']",,,cs.OS,['cs.OS'],1504.02517,2
100,2019-09-08 15:33:45+00:00,2019-01-30 04:10:01+00:00,"['Paul Emmerich', 'Maximilian Pudelko', 'Simon Bauer', 'Stefan Huber', 'Thomas Zwickl', 'Georg Carle']",,,cs.NI,"['cs.NI', 'cs.OS']",1901.10664,2
101,2019-01-03 20:36:43+00:00,2018-08-30 03:09:40+00:00,"['Immanuel Amirtharaj', 'Tai Groot', 'Behnam Dezfouli']",,,cs.OS,"['cs.OS', 'cs.DC', 'cs.NI', 'cs.PF']",1808.10097,2
102,2017-09-25 16:10:02+00:00,2017-09-08 15:29:17+00:00,"['Sam Silvestro', 'Hongyu Liu', 'Corey Crosser', 'Zhiqiang Lin', 'Tongping Liu']",,10.1145/3133956.3133957,cs.OS,"['cs.OS', 'cs.CR']",1709.02746,2
103,2020-03-14 14:58:13+00:00,2019-11-27 03:52:34+00:00,"['Monowar Hasan', 'Sibin Mohan', 'Rodolfo Pellizzoni', 'Rakesh B. Bobba']",,,cs.OS,"['cs.OS', 'cs.CR']",1911.11937,2
104,2017-05-24 20:48:00+00:00,2017-05-19 12:48:50+00:00,"['Ján Veselý', 'Arkaprava Basu', 'Abhishek Bhattacharjee', 'Gabriel Loh', 'Mark Oskin', 'Steven K. Reinhardt']",,,cs.OS,"['cs.OS', 'D.4.4; D.4.7']",1705.06965,2
105,2020-03-23 20:52:02+00:00,2019-08-19 13:55:44+00:00,"['Ahmad Golchin', 'Soham Sinha', 'Richard West']",,,cs.OS,"['cs.OS', 'D.4.0; D.4.7; D.4.4']",1908.06807,2
106,2018-11-29 22:55:38+00:00,2018-02-20 11:08:31+00:00,"['Zhi Zhang', 'Yueqiang Cheng', 'Surya Nepal', 'Dongxi Liu', 'Qingni Shen', 'Fethi Rabhi']",,10.1007/978-3-030-00470-5_32,cs.CR,"['cs.CR', 'cs.OS']",1802.07062,2
107,2017-11-08 19:08:26+00:00,2017-11-07 05:41:15+00:00,"['Dinesh Subhraveti', 'Sri Goli', 'Serge Hallyn', 'Ravi Chamarthy', 'Christos Kozyrakis']",,,cs.NI,"['cs.NI', 'cs.OS']",1711.02294,2
108,2019-07-11 23:15:30+00:00,2019-05-26 15:38:30+00:00,"['Dave Dice', 'Alex Kogan']",,,cs.OS,['cs.OS'],1905.10818,2
109,2021-05-31 15:53:06+00:00,2019-08-17 00:24:07+00:00,"['Soham Sinha', 'Richard West', 'Ahmad Golchin']",,10.4230/LIPIcs.ECRTS.2020.3,cs.OS,"['cs.OS', 'C.3; D.4.7; D.4.1']",1908.06211,2
110,2022-03-15 15:50:04+00:00,2021-10-15 18:22:10+00:00,"['Liwei Guo', 'Felix Xiaozhu Lin']",,10.1145/3492321.3519565,cs.OS,"['cs.OS', 'cs.CR']",2110.08303,2
111,2020-06-12 09:57:12+00:00,2019-12-22 00:58:54+00:00,"['Gauthier Voron', 'Vincent Gramoli']",,,cs.CR,"['cs.CR', 'cs.DC', 'cs.OS']",1912.10367,2
112,2000-06-13 22:07:28+00:00,2000-06-08 17:02:51+00:00,['Neil J. Gunther'],,,cs.PF,"['cs.PF', 'cs.OS', 'C.4;D.4.1;D.4.8']",cs/0006015,2
113,2005-01-09 19:07:05+00:00,2004-10-04 14:49:00+00:00,['Ignatios Souvatzis'],"Proceedings of the 2nd European BSD Conference, 2002, Amsterdam,
  The Netherlands",,cs.OS,"['cs.OS', 'cs.DC', 'C.2.4; D.4.7']",cs/0410007,2
114,2020-10-12 06:33:43+00:00,2019-12-23 07:58:04+00:00,"['Yutian Yang', 'Songbo Zhu', 'Wenbo Shen', 'Yajin Zhou', 'Jiadong Sun', 'Kui Ren']",,,cs.CR,"['cs.CR', 'cs.OS']",1912.10666,2
